ID,Date,M_kilowatt_cons
0,2021-01,7066.960000000006
1,2021-02,6229.490000000005
2,2021-03,6754.099999999991
3,2021-04,5765.580000000002
4,2021-05,4743.0
5,2021-06,3964.0
6,2021-07,4792.0
7,2021-08,4165.0
8,2021-09,4501.0
9,2021-10,4420.639999999999
10,2021-11,5658.9100000000035
11,2021-12,6758.909999999996
12,2022-01,6289.98
13,2022-02,5153.560000000001
14,2022-03,5080.0
15,2022-04,4290.14
16,2022-05,4094.8599999999997
17,2022-06,5593.29
18,2022-07,6802.71
19,2022-08,5199.09
20,2022-09,5777.919999999998
21,2022-10,5100.990000000002
22,2022-11,6911.610000000001
23,2022-12,9457.39
24,2023-01,8354.650000000001
25,2023-02,6384.970000000001
26,2023-03,5101.899999999994
27,2023-04,4182.480000000003
28,2023-05,4101.399999999994
29,2023-06,4492.37000000001
30,2023-07,6969.669999999998
31,2023-08,4602.599999999991
32,2023-09,5995.650000000009
33,2023-10,6092.309999999998
34,2023-11,2316.4100000000035
